MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;OCCUPATION
12;48;10000000.0;1;0;26;18
12;50;3600000.0;1;0;80;0
12;48;2450000.0;1;0;40;12
12;48;960000.0;1;0;32;1
12;40;1500000.0;1;1;33;2
12;30;1000000.0;1;0;39;2
12;40;1500000.0;1;0;21;3
8;70;300000.0;1;1;12;17
12;20;300000.0;1;1;10;7
12;48;500000.0;1;0;50;6
12;55;1325000.0;1;0;21;4
12;48;1300000.0;1;1;24;1
12;48;1160000.0;1;0;75;4
12;48;1160000.0;1;1;55;6
12;48;1160000.0;1;1;66;20
12;48;3000000.0;1;1;43;8
12;56;1230000.0;1;0;52;4
12;60;1000000.0;1;1;6;9
12;5;200000.0;1;1;67;0
