MONTHS_WORKED;HOURS_PER_WEEK;URBAN_RURAL;SEX;AGE_RANGE;SALARY_RANK;OCCUPATION
12;48;1;0;3;1;16
12;30;1;0;0;1;16
12;28;1;1;5;1;16
12;40;1;0;2;1;16
12;20;1;1;1;1;16
12;56;1;1;3;1;16
4;54;1;0;1;1;16
1;30;1;0;1;1;16
12;40;1;1;0;1;16
12;48;1;0;5;2;16
12;48;1;0;3;2;16
12;48;1;0;1;2;16
12;40;1;1;1;1;16
1;30;1;1;3;1;16
12;40;1;1;2;1;16
12;60;1;0;1;1;16
12;15;1;1;5;1;16
12;30;1;1;1;1;16
12;48;1;0;2;2;16
12;50;1;0;1;1;16
12;60;1;0;1;1;16
12;70;1;1;1;1;16
12;48;1;0;1;1;16
12;48;1;0;1;3;16
12;60;1;0;1;1;16
4;60;1;0;0;1;16
12;28;1;0;5;1;16
12;70;1;1;2;2;16
12;48;1;0;1;1;16
12;21;1;0;0;1;16
12;16;1;0;3;1;16
12;48;1;0;5;1;16
12;48;1;0;2;1;16
12;48;1;0;0;1;16
3;48;1;1;2;1;16
7;48;1;1;1;1;16
12;30;1;1;5;1;16
12;40;1;0;5;1;16
12;35;1;0;1;1;16
11;40;1;0;1;1;16
12;8;1;1;3;1;16
12;56;1;0;1;1;16
12;54;1;1;3;1;16
5;60;1;1;3;2;16
10;48;1;1;1;1;16
3;44;1;1;3;1;16
12;15;1;0;0;1;16
12;66;1;0;5;2;16
12;50;1;1;4;2;16
12;48;1;1;0;1;16
12;4;1;0;1;1;16
12;38;1;1;1;1;16
1;30;1;0;1;1;16
11;48;1;1;3;1;16
12;40;1;0;3;1;16
12;30;1;0;0;1;16
12;60;1;0;3;2;16
10;48;1;0;1;1;16
1;30;1;0;0;1;16
12;30;1;0;1;1;16
12;10;1;0;1;1;16
2;30;1;1;1;1;16
12;24;1;1;0;2;16
12;50;1;0;1;1;16
10;32;1;0;3;1;16
1;30;1;0;1;1;16
12;48;1;1;1;1;16
12;56;1;1;3;1;16
12;20;1;1;1;1;16
12;25;1;1;3;1;16
12;20;1;0;5;1;16
12;40;1;1;1;1;16
8;50;1;0;5;1;16
12;48;1;1;5;2;16
12;48;1;0;2;1;16
12;30;1;1;0;1;16
12;40;1;0;1;1;16
6;30;1;0;0;1;16
12;48;1;1;3;1;16
12;20;1;1;1;1;16
12;48;1;0;1;2;16
12;48;1;0;5;1;16
12;60;1;1;3;1;16
12;48;1;0;5;1;16
12;6;1;0;5;1;16
6;18;1;0;2;1;16
12;30;1;1;1;1;16
12;40;1;0;0;1;16
12;48;1;0;1;1;16
1;15;1;1;1;1;16
9;48;1;1;5;1;16
1;42;1;0;3;2;16
10;72;1;0;1;1;16
12;60;1;0;1;2;16
12;60;1;0;1;2;16
9;18;1;1;2;1;16
12;30;1;0;5;1;16
11;72;1;0;5;1;16
12;24;1;1;4;1;16
6;24;1;1;2;1;16
12;40;1;0;5;2;16
12;10;1;1;1;1;16
8;24;1;1;1;1;16
12;54;1;1;2;2;16
12;48;1;0;1;2;16
12;56;1;0;0;1;16
5;30;1;0;1;1;16
12;40;2;0;3;1;16
12;60;2;0;1;2;16
12;48;1;1;2;2;16
12;48;2;1;1;1;4
12;48;1;1;1;1;4
12;48;1;0;1;2;4
12;48;1;1;1;1;4
12;70;1;0;1;2;4
12;48;1;1;5;2;4
6;48;1;0;3;1;4
12;48;1;0;1;2;4
12;56;1;0;1;2;4
12;48;1;0;5;2;4
12;60;1;0;3;2;4
12;48;1;1;1;2;4
12;48;1;0;5;2;4
2;48;1;0;3;2;4
12;48;1;1;1;2;4
12;60;1;0;5;1;4
10;48;1;0;5;2;4
12;60;1;0;2;1;4
8;48;1;0;1;1;4
12;48;1;0;1;1;4
12;48;1;1;3;1;4
12;48;1;0;3;2;4
12;40;1;0;1;3;4
11;60;1;0;1;1;4
12;50;1;0;5;2;4
12;84;1;0;1;3;4
12;50;1;1;3;1;4
12;48;1;1;3;2;4
12;48;1;0;2;2;4
12;48;1;0;2;1;4
12;48;1;0;5;2;4
12;78;1;0;0;1;4
12;48;1;1;2;2;4
12;48;1;1;0;2;4
7;24;1;0;2;1;4
12;60;1;0;1;1;4
12;48;1;0;3;1;4
12;60;1;0;0;1;4
12;48;1;1;5;1;4
12;48;1;1;0;2;4
12;35;1;0;1;2;4
12;48;1;0;3;2;4
12;48;1;1;2;2;4
12;48;1;0;1;1;4
6;60;1;0;3;1;4
10;56;1;1;1;1;4
7;48;1;0;1;1;4
10;56;1;1;2;1;4
12;48;1;0;5;2;4
12;48;1;0;3;1;4
12;54;1;1;1;2;4
12;48;1;1;1;2;4
12;48;1;0;5;1;4
12;40;1;0;1;3;4
12;48;1;0;2;2;4
12;48;2;1;1;2;4
12;48;2;1;5;1;4
12;48;2;0;5;1;4
1;48;2;0;1;1;4
7;72;1;1;5;1;4
12;48;2;0;1;1;4
12;48;1;0;3;2;4
12;48;1;0;3;2;4
11;56;1;0;5;1;4
12;48;1;0;5;2;4
12;20;1;1;3;1;4
12;55;1;0;3;2;4
12;48;1;1;5;2;4
12;50;1;0;1;2;4
12;48;1;0;5;2;4
12;36;1;0;1;3;4
4;48;1;0;5;2;4
12;48;1;0;0;2;4
12;60;1;0;1;2;4
12;48;1;1;0;1;4
12;48;1;0;1;2;4
12;40;1;1;1;4;4
12;50;1;0;2;2;4
12;48;1;0;1;1;4
9;48;1;0;5;1;4
12;48;1;1;1;1;4
12;48;1;0;2;1;4
12;62;1;0;3;1;4
11;48;1;0;3;1;4
12;48;1;0;1;2;4
12;48;1;1;1;1;4
12;48;1;1;1;1;4
12;48;1;0;3;2;4
12;48;1;1;1;2;4
12;48;1;0;1;1;4
12;48;1;0;2;3;4
12;48;1;1;3;1;4
12;48;1;0;0;1;4
12;48;1;1;5;1;4
12;48;1;1;1;1;4
12;72;1;0;1;2;4
12;48;1;1;0;1;4
12;48;1;1;5;2;4
12;48;1;0;1;1;4
12;48;1;0;1;2;4
12;48;1;0;1;2;4
12;48;1;1;3;2;4
12;48;1;1;5;2;4
12;48;1;0;1;2;4
12;48;1;0;1;1;4
12;48;1;0;5;1;4
12;48;1;0;1;2;4
11;48;1;1;1;1;4
12;48;1;0;1;1;4
12;52;1;0;1;1;4
12;40;1;1;0;2;4
12;70;1;1;1;1;4
6;48;1;1;2;1;4
12;48;1;1;3;2;4
8;48;1;0;1;1;4
12;48;1;0;1;1;4
12;48;1;0;1;2;4
12;40;1;0;1;2;4
12;48;1;0;0;1;4
12;48;1;0;1;3;4
12;48;1;1;1;1;4
12;40;1;1;0;4;4
12;48;1;0;0;2;4
12;60;1;1;0;1;4
12;48;1;0;2;2;4
11;48;1;0;2;2;4
12;40;1;1;1;1;4
12;50;1;1;1;2;4
12;48;1;0;0;1;4
12;48;1;0;3;2;4
7;48;1;0;0;4;4
8;56;1;0;3;2;4
12;62;1;0;1;2;4
12;48;1;0;0;5;4
12;48;2;0;1;1;4
8;36;2;1;1;1;4
12;48;1;0;1;1;4
8;48;1;1;1;1;4
12;48;1;0;5;2;4
12;48;1;0;2;2;4
12;48;1;0;0;2;4
12;48;1;1;1;2;4
12;60;1;1;1;1;4
12;45;1;0;5;4;4
12;48;1;1;3;2;4
9;49;1;0;3;1;4
12;48;1;0;1;1;4
12;48;1;0;3;1;4
12;48;1;0;5;1;4
12;48;1;0;2;2;4
12;48;1;1;1;1;4
7;48;1;0;1;1;4
12;48;1;1;2;1;4
12;48;1;0;1;2;4
12;48;1;1;1;1;4
12;48;1;0;5;2;4
12;48;1;1;3;2;4
12;48;1;1;2;1;4
11;52;1;0;2;2;4
12;48;1;1;2;1;4
12;48;1;0;1;1;4
12;15;2;1;3;1;4
12;27;1;0;0;2;4
12;44;2;1;1;2;4
1;48;2;1;1;1;4
12;48;2;1;0;1;4
12;48;2;1;2;2;4
3;48;1;0;3;1;4
12;48;1;1;5;2;4
12;48;1;1;1;2;4
12;48;1;1;5;1;4
4;48;1;0;3;2;4
12;48;1;1;4;1;4
6;48;1;1;5;2;4
12;40;1;0;5;2;4
12;40;1;1;1;2;4
12;48;1;0;3;1;4
12;48;1;1;0;2;4
12;48;1;0;1;2;4
8;48;1;0;3;1;4
12;48;1;0;1;2;4
12;48;1;1;0;2;4
4;16;1;0;0;1;4
12;48;1;1;5;1;4
12;66;1;0;0;2;4
12;48;1;1;0;2;4
12;48;1;1;0;1;4
12;48;1;0;2;2;4
12;48;1;0;2;2;4
12;48;1;0;1;2;4
12;48;1;1;1;1;4
10;48;1;1;0;1;4
12;48;1;1;2;1;4
11;48;1;0;3;1;4
12;48;1;0;0;2;4
12;48;1;1;1;2;4
12;48;1;0;5;1;4
4;48;1;0;1;1;4
12;48;1;0;2;2;4
12;48;1;1;1;1;4
12;48;1;0;5;1;4
12;48;1;1;1;1;4
12;62;1;1;1;2;4
12;48;1;0;5;2;4
12;48;1;0;1;2;4
1;40;1;1;5;2;4
1;40;1;0;5;2;4
11;48;1;0;1;2;4
8;48;2;0;5;1;4
5;48;2;1;1;2;4
10;60;2;0;1;1;4
12;50;2;1;2;1;4
12;40;2;1;5;1;4
12;40;1;1;0;2;4
12;48;2;1;2;1;4
12;48;2;0;5;2;4
12;48;1;1;1;2;4
12;48;1;0;2;1;4
12;44;1;0;1;1;4
12;48;1;1;2;1;4
12;48;1;0;1;2;4
12;48;1;1;5;2;4
12;48;1;0;2;1;4
12;48;1;1;1;2;4
12;66;1;1;2;1;4
12;48;1;0;0;1;4
12;40;1;1;1;3;4
12;48;1;0;1;1;4
6;48;1;0;1;1;4
12;48;1;1;1;2;4
12;54;1;1;4;1;4
12;48;1;1;5;2;4
12;48;1;0;1;1;4
12;60;1;0;1;2;4
12;48;1;0;5;1;4
11;48;1;1;1;1;4
12;48;1;1;1;1;4
12;48;1;0;3;2;4
12;48;1;0;1;1;4
12;48;1;1;1;1;4
12;48;1;1;1;1;4
12;20;1;0;5;1;4
12;40;1;1;3;3;4
12;56;1;0;1;2;4
6;48;1;0;1;1;4
12;48;1;0;2;1;4
12;48;1;0;1;2;4
12;54;1;1;2;2;4
12;48;1;0;1;2;4
2;48;1;0;1;2;4
12;48;1;1;5;1;4
12;48;1;1;1;1;4
12;48;1;0;1;2;4
12;40;1;1;5;4;4
12;48;1;1;1;1;4
12;48;1;0;1;2;4
12;48;1;1;2;2;4
1;48;1;1;2;1;4
12;46;1;1;1;2;4
12;48;1;1;3;1;4
12;48;1;1;4;1;4
1;40;1;1;1;1;4
12;48;1;0;1;2;4
12;40;1;0;5;2;4
12;48;1;0;1;2;4
10;40;1;1;0;2;4
12;48;1;0;1;2;4
12;48;1;0;1;2;4
12;48;1;0;1;1;4
12;48;1;0;3;1;4
12;48;1;1;1;2;4
12;48;1;1;1;3;4
12;48;1;1;2;5;4
12;48;1;0;2;1;4
12;48;1;1;0;2;4
12;48;2;0;1;2;4
12;48;1;0;1;2;4
12;48;1;1;3;2;12
8;50;1;1;1;1;12
12;48;1;0;0;1;12
6;15;1;0;2;1;12
12;54;1;1;3;1;12
12;50;1;0;0;2;12
10;45;1;0;1;1;12
12;48;1;1;1;2;12
12;48;1;1;1;1;12
12;60;1;0;1;1;12
12;56;1;0;1;3;12
12;40;1;0;1;2;12
12;60;1;0;5;2;12
12;60;1;0;5;2;12
12;48;1;1;1;1;12
12;15;1;0;2;1;12
12;60;1;1;2;3;12
12;60;1;1;2;2;12
12;72;1;1;5;5;12
12;60;1;0;1;2;12
12;48;1;1;1;1;12
12;50;1;1;1;2;12
9;40;1;0;3;3;12
12;72;1;0;5;1;12
8;48;1;0;1;1;12
12;54;1;0;2;2;12
3;20;1;1;2;1;12
12;45;1;1;2;1;12
3;48;1;1;1;1;12
12;48;1;0;1;1;12
12;48;1;1;1;2;12
12;48;1;0;1;1;12
12;48;1;1;5;2;12
12;48;1;1;3;2;12
12;48;1;0;3;1;12
12;36;1;0;3;3;12
12;30;1;0;5;1;12
8;50;1;1;1;1;12
12;84;1;1;1;3;12
10;40;1;1;2;2;12
12;20;1;0;5;1;12
12;48;1;1;5;2;12
12;48;1;0;1;1;12
12;48;1;1;2;1;12
3;48;1;0;0;1;12
12;70;1;1;5;2;12
12;48;1;0;1;1;12
12;70;1;0;1;2;12
12;30;1;0;5;1;12
12;50;1;1;3;4;12
12;48;1;0;5;2;12
5;48;1;0;3;1;12
2;72;1;0;1;1;12
12;60;1;1;3;2;12
12;48;1;1;1;1;12
12;70;1;0;1;1;12
12;60;1;0;1;1;12
12;60;1;0;1;1;12
12;48;1;1;2;2;12
12;70;1;0;5;1;12
12;50;1;0;3;4;12
12;48;2;1;1;1;12
12;105;1;0;3;1;12
4;48;1;0;2;1;12
12;40;2;1;1;1;12
12;108;2;0;5;2;12
12;60;2;1;5;2;12
12;60;1;0;5;3;12
12;60;1;0;1;2;12
12;48;1;1;5;2;12
12;48;1;1;1;1;12
10;48;1;1;5;2;12
12;50;1;0;5;2;12
12;50;1;0;1;2;12
12;50;1;0;1;1;12
12;48;1;1;2;1;12
11;50;1;1;0;1;12
12;70;1;0;0;2;12
12;40;1;1;5;2;12
10;48;1;1;0;1;12
10;48;1;0;1;2;12
12;72;1;1;1;1;12
9;50;1;1;1;2;12
12;60;1;1;1;1;12
12;40;1;1;5;2;12
12;48;1;1;1;2;12
12;30;1;0;0;1;12
12;30;1;0;1;2;12
8;48;1;0;5;2;12
8;40;1;0;1;2;12
12;72;1;1;3;1;12
9;40;1;0;5;1;12
12;48;1;1;5;2;12
12;48;1;1;3;2;12
12;48;1;0;5;1;12
12;40;1;0;3;1;12
12;50;1;1;1;1;12
12;60;1;1;1;2;12
12;60;1;1;5;2;12
12;50;1;0;5;1;12
12;60;1;0;1;1;12
12;84;1;1;3;2;12
12;48;1;1;1;2;12
12;16;1;1;3;1;12
2;60;1;0;0;1;12
11;48;1;0;5;1;12
3;52;1;1;3;2;12
12;50;1;1;2;3;12
12;48;1;0;3;2;12
12;84;1;0;1;3;12
12;36;1;1;0;2;12
12;48;1;0;1;3;12
12;48;1;0;1;2;12
12;48;1;1;1;2;12
12;70;1;0;0;1;12
12;48;1;0;1;2;12
12;48;1;1;3;1;12
12;48;1;1;2;1;12
11;48;1;0;1;2;12
12;48;1;1;2;2;12
12;60;1;0;1;2;12
12;70;1;1;1;5;12
12;48;1;0;2;1;12
12;40;1;0;0;1;12
12;84;1;0;1;2;12
12;48;1;0;5;2;12
12;48;1;0;3;2;12
12;60;1;0;0;2;12
12;48;1;1;1;2;12
12;48;1;1;1;3;12
12;48;1;1;3;4;12
12;60;1;1;1;1;12
12;50;1;1;1;2;12
12;48;1;0;1;1;12
12;48;1;1;0;1;12
12;48;1;0;1;2;12
12;48;1;1;1;2;12
12;64;1;1;0;2;12
12;48;1;1;1;1;12
12;48;1;0;1;2;12
12;48;1;0;5;1;12
12;60;1;0;5;1;12
12;60;1;0;3;2;12
12;50;1;1;1;2;12
12;60;1;1;2;1;12
12;48;1;0;5;1;12
12;48;1;0;3;1;12
12;48;1;1;3;1;12
12;75;1;1;5;2;12
12;48;1;0;2;1;12
12;48;1;1;2;1;12
12;48;1;0;0;2;12
12;40;1;1;1;1;12
12;48;1;0;1;3;12
12;48;1;1;2;1;12
12;48;1;0;1;3;12
12;60;1;0;3;1;12
12;62;1;1;1;1;12
12;48;1;1;1;2;12
12;60;1;1;2;1;12
12;40;1;1;1;2;12
12;48;1;0;3;1;12
12;48;1;0;0;2;12
12;48;1;0;3;2;12
12;48;2;1;0;1;12
12;48;2;0;2;1;12
12;48;1;1;3;1;12
8;48;1;0;1;1;12
12;60;1;1;1;1;12
12;50;1;0;3;2;12
12;24;1;1;1;1;12
12;48;1;1;0;2;12
12;52;1;0;1;1;12
12;48;1;0;1;2;12
11;40;1;1;4;2;12
12;30;1;0;1;1;12
12;36;1;0;1;1;12
10;70;1;0;1;2;12
8;48;1;0;2;1;12
12;48;1;1;1;1;12
8;30;1;1;1;1;12
12;50;1;1;3;2;12
12;30;1;1;2;1;12
9;48;1;1;1;2;12
12;48;1;0;1;2;12
12;30;2;0;1;1;12
12;40;1;0;5;1;12
12;70;1;1;1;3;12
12;48;2;0;5;2;12
4;70;2;0;1;1;12
12;70;2;0;1;2;12
6;20;2;1;2;1;12
12;50;1;1;1;2;12
